ID,Date,User,Screen Name,Location,Text,Source,Likes,RTs
1085612406972256256,2019-01-16 18:59:02,David CN,davidbna,Ciudad de México,"@AXTEL_SC no me dejan contratar servicio por temas de aduedos anteriores!!!! una pena y la que me atendió vía telefónica hasta se enojo por no darle datos personales, quería el servicio pero ahora tendré que buscar otro proveedor",Twitter Web Client,0,0
1085606490029916160,2019-01-16 18:35:31,Hector Palacios,Lordjaibo,Mexico,@RulHack @Twitter @AXTEL_SC Pero esta bien Ing?,Twitter for Android,0,0
1085602218840080384,2019-01-16 18:18:33,Kiu,cipons,"México, DF",@AXTEL_SC Pésimo servicio al cliente. No se hacen responsables de sus errores e ignoran tus comentarios. Parecen autómatas. #AXTELXTREMO #FelizMiercoles,Twitter for iPhone,0,0
1085600809838997504,2019-01-16 18:12:57,Bri,i_bri,Kokiri Forest,"@MariePrGut @AXTEL_SC Woah, nunca me había pasado",Falcon Pro 2015 BETA,0,0
1085598818283020288,2019-01-16 18:05:02,Be,belem_merino,,"@AXTEL_SC Qué detallazo. 
No, de momento ya no ha fallado mi servicio de Izzi, gracias por preguntar.",Twitter for iPhone,0,0
1085596443174469635,2019-01-16 17:55:36,Mauricio Molina,mauchopper,Mexico city,@AXTEL_SC Es un robo totalllll... esto no se quedará así y voy a levantar las denuncias q sean necesarias ante @Profeco.. Para q por lo menos la gente piense 2 veces antes de contratar su servicio. https://t.co/sI7f0QfTry,Twitter for Android,0,0
1085594428750942209,2019-01-16 17:47:35,Vero Gallardo Oficial,VeroGallardo_1,,@AXTEL_SC hola xfa les mande MD mi internet esta fallando,Twitter for iPhone,0,0
1085592563841748992,2019-01-16 17:40:11,julio cv,tuco_wallach,México,@AXTEL_SC total incapacidad para reconicer que ustedes se equivocan y mucha menos para resolver a favor del cliente. No ameritan el aumento en costos de su servicio.,Twitter for Android,0,0
1085592333113090048,2019-01-16 17:39:16,julio cv,tuco_wallach,México,@AXTEL_SC creen que soy estúpido? Ayer levanté reporte de falla y me dieron un número de orden para arreglarlo hoy. Después resulta que hay dos números de orden y van a resolver mi problema hasta mañana. Para lavarse las a las manos me dan otro número que es el mismo de ayer 😑.,Twitter for Android,0,0
1085588818831556608,2019-01-16 17:25:18,fernanda lara,fernand92917065,,@AXTEL_SC ya van 3 veces seguidos que me dan fechas falsas de visita,Twitter for Android,0,0
1085587156821782531,2019-01-16 17:18:42,Jorge Santamaría,zombie_rebel,Mexico City,"@AXTEL_SC Oye, ESPN 2 no tiene sonido!",Twitter for Android,0,0
1085581844266078208,2019-01-16 16:57:35,Sergio M.,SergioM653,"León, Guanajuato, Mx",@AXTEL_SC Hola. Ya funciona normalmente. Gracias. Excelente día.,Twitter for Android,0,0
1085581815513923584,2019-01-16 16:57:28,Sergio M.,SergioM653,"León, Guanajuato, Mx",@AXTEL_SC Hola. Ya funciona normalmente. Gracias. Excelente día.,Twitter for Android,0,0
1085568482492760064,2019-01-16 16:04:29,Carlos A Raggi,carloraggi,,"@AXTEL_SC Gracias, el acceso a twitter se restableció hoy en la mañana. Si vuelve a pasar los contacto.",Twitter for Android,0,0
1085564155879280642,2019-01-16 15:47:18,Portero,portero,,@AlesiAkira @AXTEL_SC Hijos de perra.,Twitter Web Client,0,0
1085562369961385985,2019-01-16 15:40:12,AlesiAkiraKitsune©,AlesiAkira,"Aguascalientes, México",¿Qué haces @AXTEL_SC ? Que el servicio estos días ha estado bastante malito... ¬¬,TweetDeck,0,0
1085562013961633792,2019-01-16 15:38:47,Akcell Redkel,ARedkel,México,@rulobarrera @AXTEL_SC Me pasó lo mismo.,Twitter Lite,0,0
1085561961100775424,2019-01-16 15:38:34,Juan Pablo Benlliure,jbenlliure,,@AXTEL_SC Gracias ya funcionando correctamente,Twitter for iPhone,0,0
1085560912621256704,2019-01-16 15:34:24,Napoleón Gallifa,napogallifa,"Ciudad Madero, Tamaulipas","@AXTEL_SC Claro, les proporciono los datos: numero de cuenta es 14216982 y teléfono 8123173852",Twitter for Android,0,0
1085557965690593281,2019-01-16 15:22:42,Shinjo,EsShinjo,"Gdl, Jal, Mex","@AXTEL_SC 100% resuelto hace unas horas, todo perfecto, gracias!",Twitter Web Client,0,0
1085551093428482048,2019-01-16 14:55:23,Napoleón Gallifa,napogallifa,"Ciudad Madero, Tamaulipas",@AXTEL_SC hola?,Twitter for Android,0,0
1085548539625725953,2019-01-16 14:45:15,Sergio M.,SergioM653,"León, Guanajuato, Mx","@Hu_Gonzalez @ZeRoMMX @AXTEL_SC Y @AXTEL_SC no es bueno para responder un reporte.
Decepción...",Twitter for Android,1,0
1085547795472252929,2019-01-16 14:42:17,Ricardo Ruiz Marmol,rabano2,La Gran Tenochtitlan,@AXTEL_SC Gracias.,Twitter for iPhone,0,0
1085545046773035008,2019-01-16 14:31:22,Sergio M.,SergioM653,"León, Guanajuato, Mx",@Hu_Gonzalez @ZeRoMMX @AXTEL_SC Gracias. Hace unos días pasó lo mismo por cerca de una hora.,Twitter for Android,1,0
1085521266830860288,2019-01-16 12:56:52,Hugo González,Hu_Gonzalez,Metepec y Ciudad de México,"@SergioM653 @ZeRoMMX @AXTEL_SC Hay falla de Twitter desde Izzi, Axtel y red móvil de Telcel. Zonas del centro sur de la CDMX: Del Valle, Nápoles, San Pedro de los Pinos y otras. #TwitterDown",Twitter for iPhone,0,0
1085520337557581825,2019-01-16 12:53:11,Hugo González,Hu_Gonzalez,Metepec y Ciudad de México,"@AgenteTruffaut @izzi_mx @AXTEL_SC @TotalplayAyuda Tampoco en 4G en algunas zonas del centro sur de la CDMX: Del Valle, Nápoles, San Pedro de los Pinos. #TwitterFalla #TwitterDown",Twitter for iPhone,0,0
1085515583347613696,2019-01-16 12:34:17, Larry Demonoid ,ZeRoMMX,León Guanajuato ,@SergioM653 @AXTEL_SC @AXTEL fíjate que me acabo de levantar y ya funciona bien Twitter,Talon Android,1,0
1085506124936372224,2019-01-16 11:56:42,TotalplayAyuda,TotalplayAyuda,,@g_fhernhandho @totalplaymx @AXTEL_SC Tenemos un gran compromiso con las personas que como tú no están dentro de nuestra cobertura por lo que estamos trabajando para que a la brevedad Totalplay llegue a la zona. Te solicitamos estar al pendiente de nuestra página y redes sociales. DS,Salesforce - Social Studio,0,0
1085499744003280896,2019-01-16 11:31:21,Galle,dario_torresb,,@ruidovisual_ @AXTEL @AXTEL_SC Mismo problema aqui! Creo que es hora de cambio,Twitter for iPhone,0,0
1085499531192610816,2019-01-16 11:30:30,Galle,dario_torresb,,"@rulobarrera @AXTEL_SC Tengo el mismo problema, solo por datos celulares o por medio de vpn puedo acceder, pareciera que baneo el dominio “por accidente”",Twitter for iPhone,0,0
1085490057501261824,2019-01-16 10:52:51,ferch,g_fhernhandho,,"@totalplaymx , @AXTEL_SC ayuda por favor extiendan sus servicios al cp 45136. Libremos ya de esta porqueria de servicio 😢",Twitter for iPhone,0,0
1085480670179274752,2019-01-16 10:15:33,SrDosis,SrDosis,"Guadalajara, México",@Caifo @AXTEL_SC @TwitterLatAm Me ocurre lo mismo 🤔,Twitter for Android,0,0
1085476569965985792,2019-01-16 09:59:16,▓▒░  dpto5.com ░▒▓,dpto5,"ÜT: 19.3924324,-99.1591904",@RulHack @AgenteTruffaut @Twitter @AXTEL_SC Me paso igual con izzi,Twitter for iPhone,0,0
1085468806519115779,2019-01-16 09:28:25,Agente Truffaut,AgenteTruffaut,,"La falla en el acceso a Twitter en todas sus plataformas está ocurriendo en CDMX en la red de @izzi_mx, @AXTEL_SC y también en @TotalplayAyuda. Sólo en Telmex y en la red 4G de Telcel hay acceso. Para que funcione es necesario instalar un VPN como éste: https://t.co/UbGavVQVv8",Tweetbot for iΟS,3,2
1085468690882183168,2019-01-16 09:27:57,TotalplayAyuda,TotalplayAyuda,,@NeuroticJonas @rabano2 @m1gu3l_4ng3l @AXTEL_SC @totalplaymx @rubcarrls Indicanos si nos podemos comunicar en este momento o un horario de atención para el mismo. DS,Salesforce - Social Studio,0,0
