ID,Date,User,Screen Name,Location,Text,Source,Likes,RTs
1085607858547367938,2019-01-16 18:40:57,MIRIAM JAIMES,mitwy,MEXICO,@leogarciamx @ayudaizzi @izzi_mx Gracias!! Que pena me vi como lopitoz toda neófita !!,Twitter for iPhone,0,0
1085607838330863616,2019-01-16 18:40:52,Sara 👑💕,iYeliiC,,"@ARTUROREZA @ayudaizzi Espero se pueda resolver lo más pronto posible tu servicio, sobre todo porque para un negocio es de suma importancia el teléfono! 🙏🏻🙏🏻 por suerte lo mío ya se arregló, sólo fue necesario reiniciar el módem!",Twitter for iPhone,0,0
1085601815352303617,2019-01-16 18:16:56,ARTURO REYNA ZAMBRAN,ARTUROREZA,"Monterrey, Nuevo León",@iYeliiC @ayudaizzi no te hagas muchas ilusiones amiga...yo llevo sin telefono en mi negocio casi una semana..y hoy 40 min que no me resuelven nada,Twitter Web Client,0,0
1085601566365749248,2019-01-16 18:15:57,Sara 👑💕,iYeliiC,,@ayudaizzi Muchas gracias! Ya lo mande 🙂,Twitter for iPhone,0,0
1085600658303139840,2019-01-16 18:12:21,Pedriin,PeDriink11,Ciudad de México,@iYeliiC @ayudaizzi Pues ya paga...,Twitter for Android,0,0
1085599774521344006,2019-01-16 18:08:50,Sara 👑💕,iYeliiC,,"Hola ! Me podrían ayudar, es que no tengo señal ni de teléfono, tv e internet, por favor es que ya llevo  toda la mañana así, gracias! @ayudaizzi",Twitter for iPhone,0,0
1085597894298791936,2019-01-16 18:01:22,Nowhere Girl,FernandaCen,Pepperland,"@ayudaizzi Si, es correcto",Twitter for Android,0,0
1085595596759523328,2019-01-16 17:52:14,Noé Morales Muñoz,NoeMoralesMunoz,,"@ayudaizzi Ya lo envíe, espero que su respuesta sea tan resolutiva y expedita como sus cobros...",Twitter for Android,0,0
1085593632449515522,2019-01-16 17:44:25,Noé Morales Muñoz,NoeMoralesMunoz,,"@ayudaizzi Está caído el servicio de TV e internet en Pedregal de Carrasco, Coyoacán. Arréglenlo pronto que para cobrar son rápidos...",Twitter for Android,0,0
1085588943322693632,2019-01-16 17:25:48,ARTURO REYNA ZAMBRAN,ARTUROREZA,"Monterrey, Nuevo León",@ayudaizzi pesimo servicio y eso q aun no empezamos,Twitter Web Client,0,0
1085588080273252354,2019-01-16 17:22:22,Kiks Oficial,KiksOficial,monterrey,@ayudaizzi @RIRF18 Yo llevo 19 dias con lo mismo...,Twitter for Android,1,0
1085586868907982848,2019-01-16 17:17:33,Leo García,leogarciamx,Aqui y ahora,@JAntonioOrozco @Naye1i @UnChecador @ayudaizzi @izzi_mx @TwitterMexico @TwitterSupport Solo agregaría que por ahora prefiero las de OpenDNS. Ni las de Google ni las de Verisign me inspiran mucha confianza que digamos.,Twitter Web Client,1,0
1085586756127285248,2019-01-16 17:17:06,Nerisito,BILUIS,,Nuevamente sin internet @ayudaizzi https://t.co/1bK4TGX0uG,Twitter for iPhone,0,1
1085585748764561408,2019-01-16 17:13:06,Armando Dominguez,meroluhf,,"@izzi_mx @ayudaizzi  son una compañía súper irresponsables, que asco me dan, a hora resulta que yo soy el que tiene que estar disponible para ustedes, yo soy su cliente y ustes dan el servicio cuando yo lo requiero lo cundo ustedes quieran",Twitter for iPhone,2,1
1085585681374760965,2019-01-16 17:12:50,Antonio Rojas,rojasalanis95,México,@leogarciamx @UnChecador @ayudaizzi @izzi_mx @TwitterMexico @TwitterSupport Entonces estuvo grueso no? Porque Sólo para twitter ? Fue muy raro y curioso,Twitter for Android,0,0
1085585014992134145,2019-01-16 17:10:11,Antonio Rojas,rojasalanis95,México,@tuxsoul @ayudaizzi @izzi_mx Siempre si fue el problema con los servidores,Twitter for Android,0,0
